,,,,,Regular Season,,,,,,,,,Playoffs,,,,,,,,Postseason Result,,,,,,501 Stats - as recorded by DartConnect,,,,,,,,,,Cricket Stats,,,,,,,
Player,Season,Division,Place,,C-W,C-L,5-W,5-L,BP,MW,ML,MD,,C-W,C-L,5-W,5-L,MW,ML,MD,,Playoff Bracket,Playoff Finish,P/R,Result,Color,,180s,High Out,Doubles,Chances,Points,Darts,CO%,3DA,,,9M,Marks,Darts,T/B,Hits,MPR,T/B%,Hit%
The Surgeon,Spring 2018,A,1,,19,3,49,6,25,10,1,0,,4,2,11,1,3,,,,Championship,W,,,CP,,0,115,49,201,27261,1496,24.38%,54.67,,,0,704,832,153,538,2.54,18.39%,64.66%
The Criminal,Spring 2018,A,2,,18,4,40,15,17,10,1,0,,5,1,6,5,2,1,,,Championship,F,,,CP,,1,102,39,209,26257,1598,18.66%,49.29,,,1,804,1035,149,628,2.33,14.40%,60.68%
Radar,Spring 2018,A,3,,15,7,36,19,8,8,3,0,,2,2,2,3,1,1,,,Championship,SF,,,CP,,0,76,36,228,26485,1790,15.79%,44.39,,,0,679,958,133,521,2.13,13.88%,54.38%
Slappy Pappy,Spring 2018,A,4,,14,8,27,28,3,7,4,0,,,2,1,2,,1,,,Championship,QF,,,CP,,0,56,27,224,25621,1888,12.05%,40.71,,,0,615,1019,126,447,1.81,12.37%,43.87%
Dilly Dilly,Spring 2018,A,5,,11,11,26,29,7,6,5,0,,3,1,2,5,1,1,,,Championship,SF,,,CP,,0,103,26,232,26087,1884,11.21%,41.54,,,0,640,1041,109,518,1.84,10.47%,49.76%
Pepe Le,Spring 2018,A,6,,8,14,31,24,1,5,6,0,,,2,,2,,1,,,Championship,QF,,,CP,,0,58,30,228,24705,1805,13.16%,41.06,,,0,488,874,80,422,1.68,9.15%,48.28%
Outlander,Spring 2018,A,7,,14,8,21,34,4,5,6,0,,2,2,2,2,1,1,,,Championship Qualifying,QF,,,RP,,0,94,21,242,26071,2026,8.68%,38.60,,,0,640,1180,110,543,1.63,9.32%,46.02%
Red Rascal,Spring 2018,A,8,,9,13,24,31,7,5,6,0,,,2,2,2,,1,,,Championship Qualifying,1R,R,Relegated to B,RP,,1,47,24,250,25724,2002,9.60%,38.55,,,0,541,986,100,434,1.65,10.14%,44.02%
The Author,Spring 2018,A,9,,6,16,27,28,2,5,6,0,,2,2,2,4,1,1,,,Championship Qualifying,QF,,,RP,,0,130,27,247,25251,2037,10.93%,37.19,,,0,550,1119,88,451,1.47,7.86%,40.30%
Bud The Chud,Spring 2018,A,10,,10,12,19,36,3,4,7,0,,,2,,2,,1,,,Championship Qualifying,1R,R,Relegated to B,RP,,0,40,20,229,27261,1991,8.73%,41.08,,,0,588,1075,98,476,1.64,9.12%,44.28%
Beef Easy,Spring 2018,A,11,,1,21,19,36,1,1,10,0,,,,,,,,,,,,R,Relegated to B,R,,0,78,19,235,26198,1988,8.09%,39.53,,,0,430,1021,53,372,1.26,5.19%,36.43%
The Lush,Spring 2018,A,12,,7,15,11,44,3,0,11,0,,,,,,,,,,,,R,Relegated to B,R,,0,75,12,211,25659,2014,5.69%,38.22,,,0,464,980,80,385,1.42,8.16%,39.29%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Surgeon,Summer 2018,A,1,,13,1,39,3,18,7,0,,,3,1,6,6,1,1,,,Championship,F,,,CP,,3,82,45,159,26425,1352,28.30%,58.64,,,0,518,559,107,383,2.78,19.14%,68.52%
The Criminal,Summer 2018,A,2,,12,2,33,9,12,6,1,,,3,1,8,4,2,,,,Championship,W,,,CP,,2,100,41,203,26483,1524,20.20%,52.13,,,1,596,694,121,437,2.58,17.44%,62.97%
Radar,Summer 2018,A,3,,7,7,19,23,6,3,3,1,,,2,,2,,1,,,Championship,QF,,,CP,,0,72,19,140,19885,1380,13.57%,43.23,,,0,446,694,85,339,1.93,12.25%,48.85%
Dilly Dilly,Summer 2018,A,4,,8,6,17,25,4,2,3,2,,1,3,4,4,1,1,,,Championship,SF,,,CP,,0,155,19,148,21654,1438,12.84%,45.18,,,0,427,658,88,337,1.95,13.37%,51.22%
Pepe Le,Summer 2018,A,5,,6,8,18,22,2,3,3,1,,1,1,1,3,,1,,,Championship,QF,,,CP,,0,89,19,162,20923,1401,11.73%,44.80,,,0,388,610,65,308,1.91,10.66%,50.49%
The Author,Summer 2018,A,6,,5,9,16,26,5,2,4,1,,2,2,3,3,1,1,,,Championship,SF,,,CP,,0,116,18,147,21305,1449,12.24%,44.11,,,0,436,685,78,359,1.91,11.39%,52.41%
Slappy Pappy,Summer 2018,A,7,,3,11,15,27,2,1,5,1,,,,,,,,,,,,,,,,0,77,15,142,18499,1316,10.56%,42.17,,,0,305,567,54,234,1.61,9.52%,41.27%
Outlander,Summer 2018,A,8,,2,12,11,31,1,1,6,,,,,,,,,,,,,R,Relegated to B,R,,0,46,11,131,19015,1371,8.40%,41.61,,,0,266,488,40,222,1.64,8.20%,45.49%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Rascal,Summer 2018,B,1,,10,4,24,11,9,6,1,,,,,,,,,,,,,P,Promoted to A,P,,0,70,24,179,18523,1378,13.41%,40.33,,,0,426,711,78,326,1.80,10.97%,45.85%
The Accountant,Summer 2018,B,2,,10,4,24,11,6,6,1,,,,,,,,,,,,,P,Promoted to A,P,,0,105,27,157,18505,1287,17.20%,43.14,,,0,466,759,81,368,1.84,10.67%,48.48%
Bud The Chud,Summer 2018,B,3,,11,3,22,13,8,5,2,,,2,,3,5,1,1,,,B Promotion Playoffs,F,,,PP,,0,55,23,167,16883,1265,13.77%,40.04,,,0,434,779,67,363,1.67,8.60%,46.60%
DJ My Q's,Summer 2018,B,4,,9,5,20,15,9,5,2,,,2,2,8,1,2,,,,B Promotion Playoffs,W,P,Promoted to A,PP,,0,72,25,236,20409,1663,10.59%,36.82,,,0,506,926,99,395,1.64,10.69%,42.66%
The Lush,Summer 2018,B,5,,6,8,17,18,5,3,4,,,2,2,,3,,1,,,B Promotion Playoffs,SF,,,PP,,0,54,14,168,15869,1265,8.33%,37.63,,,0,348,668,48,298,1.56,7.19%,44.61%
The Jig,Summer 2018,B,6,,5,9,12,23,4,1,6,,,,2,,2,,1,,,B Promotion Playoffs,SF,,,PP,,0,84,12,149,16518,1406,8.05%,35.24,,,0,362,742,62,291,1.46,8.36%,39.22%
Beef Easy,Summer 2018,B,7,,4,10,10,25,2,2,5,,,,,,,,,,,,,,,,,0,53,9,143,14101,1153,6.29%,36.69,,,0,266,593,51,208,1.35,8.60%,35.08%
Triple T,Summer 2018,B,8,,1,13,11,24,1,,7,,,,,,,,,,,,,,,,,0,61,11,167,15744,1398,6.59%,33.79,,,0,274,786,42,236,1.05,5.34%,30.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Surgeon,Fall 2018,A,1,,15,3,35,19,19,7,1,1,,3,1,8,6,1,1,,,Championship,F,,,CP,,1,116,41,230,32125,1789,17.83%,53.87,,,0,608,705,131,466,2.59,18.58%,66.10%
Radar,Fall 2018,A,2,,12,6,33,21,10,6,2,1,,1,1,,5,,1,,,Championship,SF,,,CP,,3,65,34,193,27704,1745,17.62%,47.63,,,0,500,675,98,376,2.22,14.52%,55.70%
The Criminal,Fall 2018,A,3,,14,4,30,24,12,6,1,2,,4,2,14,4,3,,,,Championship,W,,,CP,,2,141,44,234,35397,1973,18.80%,53.82,,,2,797,968,140,636,2.47,14.46%,65.70%
DJ My Q's,Fall 2018,A,4,,7,11,32,22,4,3,5,1,,2,2,3,5,1,1,,,Championship,SF,,,CP,,1,90,35,203,28116,1744,17.24%,48.36,,,0,564,932,88,471,1.82,9.44%,50.54%
Dilly Dilly,Fall 2018,A,5,,10,8,25,29,4,3,3,3,,,2,1,3,,1,,,Championship,QF,,,CP,,0,82,25,188,26634,1767,13.30%,45.22,,,0,562,852,92,459,1.98,10.80%,53.87%
Pepe Le,Fall 2018,A,6,,9,9,25,29,5,3,4,2,,,2,,3,,1,,,Championship,QF,,,CP,,0,75,23,171,26111,1656,13.45%,47.30,,,0,532,754,95,423,2.12,12.60%,56.10%
The Accountant,Fall 2018,A,7,,9,9,24,30,5,3,4,2,,3,1,5,6,1,1,,,A/B Playoff,SF,R,Relegated to B,RP,,0,78,24,162,24451,1666,14.81%,44.03,,,0,490,780,73,392,1.88,9.36%,50.26%
Red Rascal,Fall 2018,A,8,,7,11,25,29,3,2,4,3,,3,3,12,8,3,,,,A/B Playoff,W,,,RP,,0,97,25,178,25258,1724,14.04%,43.95,,,0,490,764,88,403,1.92,11.52%,52.75%
The Author,Fall 2018,A,9,,5,13,23,31,5,2,4,3,,,,,,,,,,,,R,Relegated to B,R,,1,120,23,185,25198,1638,12.43%,46.15,,,0,461,774,77,387,1.79,9.95%,50.00%
Slappy Pappy,Fall 2018,A,10,,2,16,18,36,3,0,7,2,,,,,,,,,,,,R,Relegated to B,R,,0,109,18,145,23278,1674,12.41%,41.72,,,0,368,714,53,307,1.55,7.42%,43.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazer Cat,Fall 2018,B,1,,13,3,29,11,42,6,2,,,,,,,,,,,Promoted,,P,Promoted to A,P,,0,120,29,154,19577,1242,18.83%,47.29,,,0,470,750,94,390,1.88,12.53%,52.00%
Outlander,Fall 2018,B,2,,14,2,24,16,38,7,1,,,1,1,3,4,,1,,,A/B Playoff,SF,,,PP,,0,113,24,156,19040,1335,15.38%,42.79,,,0,456,735,86,358,1.86,11.70%,48.71%
Bud The Chud,Fall 2018,B,3,,10,6,28,12,38,6,2,,,2,2,8,8,1,1,,,A/B Playoff,F,,,PP,,0,96,27,164,18627,1348,16.46%,41.45,,,0,340,853,56,290,1.20,6.57%,34.00%
The Lush,Fall 2018,B,4,,12,4,24,16,36,5,3,,,1,1,1,3,,1,,,A/B Playoff,QF,,,PP,,0,74,24,171,19113,1430,14.04%,40.10,,,0,433,791,69,347,1.64,8.72%,43.87%
Scooter McGooch,Fall 2018,B,5,,9,7,25,15,34,6,2,,,,2,2,2,,1,,,A/B Playoff,QF,,,PP,,0,60,25,192,19427,1482,13.02%,39.33,,,0,445,849,82,361,1.57,9.66%,42.52%
Beef Easy,Fall 2018,B,6,,6,10,19,21,25,3,5,,,,,,,,,,,,,,,,,0,71,19,174,19678,1472,10.92%,40.10,,,0,351,725,56,291,1.45,7.72%,40.14%
Cali Kid,Fall 2018,B,7,,5,11,17,23,22,2,6,,,,,,,,,,,,,R,Relegated to C,R,,0,66,17,197,17991,1550,8.63%,34.82,,,0,375,880,62,304,1.28,7.05%,34.55%
Triple T,Fall 2018,B,8,,3,13,10,30,13,1,7,,,,,,,,,,,,,R,Relegated to C,R,,0,42,10,172,18002,1524,5.81%,35.44,,,0,340,853,56,290,1.20,6.57%,34.00%
The Law,Fall 2018,B,9,,0,16,4,36,4,0,8,,,,,,,,,,,,,R,Relegated to C,R,,0,18,4,174,16637,1648,2.30%,30.29,,,0,266,861,29,218,0.93,3.37%,25.32%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazer Cat,Winter 2019,A,1,,10,4,33,16,10,7,0,0,,,2,3,4,,1,,,Championship,SF,,,CP,,3,117,36,185,26941,1569,19.46%,51.51,,,0,499,590,93,383,2.54,15.76%,64.92%
The Surgeon,Winter 2019,A,2,,9,5,30,19,6,4,3,0,,,2,2,4,,1,,,Championship,SF,,,CP,,1,114,31,169,26042,1477,18.34%,52.90,,,0,472,561,100,350,2.52,17.83%,62.39%
The Criminal,Winter 2019,A,3,,12,2,22,27,9,5,2,0,,4,2,14,6,3,,,,Championship,W,,,CP,,1,91,36,218,32046,1830,16.51%,52.53,,,2,741,891,138,564,2.49,15.49%,63.30%
Red Rascal,Winter 2019,A,4,,6,8,25,24,6,3,4,0,,,2,,3,,1,,,Championship,QF,,,CP,,1,116,23,150,23345,1484,15.33%,47.19,,,0,434,628,88,335,2.07,14.01%,53.34%
DJ My Q's,Winter 2019,A,5,,7,7,23,26,6,3,4,0,,5,1,11,9,2,1,,,Championship,F,,,CP,,1,124,34,212,32378,1882,16.04%,51.61,,,0,644,850,108,524,2.27,12.71%,61.65%
Pepe Le,Winter 2019,A,6,,3,11,26,23,3,2,5,0,,1,1,,4,,1,,,Championship,QF,,,CP,,0,80,21,135,21051,1298,15.56%,48.65,,,1,352,492,60,279,2.15,12.20%,56.71%
Dilly Dilly,Winter 2019,A,7,,6,8,21,28,5,3,4,0,,,,,,,,,,,,,,,,0,81,19,132,19338,1293,14.39%,44.87,,,0,283,452,45,230,1.88,9.96%,50.88%
Radar,Winter 2019,A,8,,3,11,16,33,2,1,6,0,,,,,,,,,,,,R,Relegated to B,R,,0,91,16,149,21943,1431,10.74%,46.00,,,0,389,585,75,298,1.99,12.82%,50.94%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Accountant,Winter 2019,B,1,,12,2,21,14,5,5,2,0,,,,,,,,,,,,P,Promoted to A,P,,0,69,21,126,16733,1091,16.67%,46.01,,,0,419,662,83,332,1.90,12.54%,50.15%
Bud The Chud,Winter 2019,B,2,,8,6,22,13,5,5,2,0,,3,1,5,8,1,1,,,B Promotion Playoffs,F,,,PP,,1,94,24,200,21753,1564,12.00%,41.73,,,0,599,960,94,491,1.87,9.79%,51.15%
The Lush,Winter 2019,B,3,,8,6,19,16,8,3,4,0,,1,1,2,4,,1,,,B Promotion Playoffs,SF,,,PP,,0,84,20,164,19322,1374,12.20%,42.19,,,0,462,752,75,373,1.84,9.97%,49.60%
Outlander,Winter 2019,B,4,,7,7,18,17,5,4,3,0,,1,3,10,3,2,,,,B Promotion Playoffs,W,P,Promoted to A,PP,,0,65,28,197,22491,1687,14.21%,40.00,,,0,458,793,64,375,1.73,8.07%,47.29%
Slappy Pappy,Winter 2019,B,5,,8,6,15,20,6,3,4,0,,1,1,2,4,,1,,,B Promotion Playoffs,SF,,,PP,,0,64,17,149,18516,1252,11.41%,44.37,,,0,451,765,70,342,1.77,9.15%,44.71%
Scooter McGooch,Winter 2019,B,6,,4,10,17,18,7,3,4,0,,,,,,,,,,,,,,,,0,72,17,140,15814,1112,12.14%,42.66,,,0,344,626,50,288,1.65,7.99%,46.01%
Beef Easy,Winter 2019,B,7,,3,11,17,18,1,3,4,0,,,,,,,,,,,,,,,,0,54,17,133,16329,1190,12.78%,41.17,,,0,290,589,46,239,1.48,7.81%,40.58%
The Author,Winter 2019,B,8,,6,8,11,24,3,2,5,0,,,,,,,,,,,,R,Relegated to C,R,,0,86,11,120,16438,1141,9.17%,43.22,,,0,374,652,63,307,1.72,9.66%,47.09%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jig,Winter 2019,C,1,,12,4,20,4,9,7,1,0,,,,,,,,,,,,P,Promoted to B,P,,0,85,20,156,11973,949,12.82%,37.85,,,0,401,692,72,321,1.74,10.40%,46.39%
Blademau5,Winter 2019,C,2,,11,5,19,5,5,6,2,0,,,,,,,,,,,,P,Promoted to B,P,,0,75,18,127,11387,959,14.17%,35.62,,,0,392,796,54,323,1.48,6.78%,40.58%
Mac Attack,Winter 2019,C,3,,14,2,12,12,9,5,3,0,,3,1,6,1,2,,,,C Promotion Playoffs,W,P,Promoted to B,PP,,1,77,18,156,15170,1157,11.54%,39.33,,,0,525,988,87,429,1.59,8.81%,43.42%
Triple T,Winter 2019,C,4,,8,8,16,8,10,6,2,0,,1,3,4,4,1,,,,C Promotion Playoffs,F,,,PP,,0,65,20,172,15668,1254,11.63%,37.48,,,0,589,1213,114,471,1.46,9.40%,38.83%
Cali Kid,Winter 2019,C,5,,10,6,11,13,6,5,3,0,,1,1,3,1,,1,,,C Promotion Playoffs,SF,,,PP,,1,84,12,122,13026,1082,9.84%,36.12,,,0,511,1150,67,430,1.33,5.83%,37.39%
Unholy Cannoli,Winter 2019,C,6,,7,9,9,15,5,4,4,0,,1,1,,3,,1,,,C Promotion Playoffs,SF,,,PP,,0,48,9,121,12262,1113,7.44%,33.05,,,0,363,863,65,300,1.26,7.53%,34.76%
Dr. Feelgood,Winter 2019,C,7,,5,11,8,16,2,2,6,0,,,,,,,,,,,,,,,,0,111,8,149,10784,1117,5.37%,28.96,,,0,337,982,55,286,1.03,5.60%,29.12%
The Law,Winter 2019,C,8,,3,13,6,18,3,1,7,0,,,,,,,,,,,,,,,,0,55,6,186,9583,1129,3.23%,25.46,,,0,333,980,50,262,1.02,5.10%,26.73%
Liberty Fires,Winter 2019,C,9,,2,14,7,17,2,0,8,0,,,,,,,,,,,,,,,,0,29,7,193,10999,1205,3.63%,27.38,,,0,391,1091,54,324,1.08,4.95%,29.70%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Surgeon,Spring 2019,A,1,,13,3,43,13,15,7,1,0,,3,1,10,4,2,,,,Championship,W,,,CP,,1,91,53,222,34555,1892,23.87%,54.79,,,2,654,784,137,476,2.50,17.47%,60.71%
The Criminal,Spring 2019,A,2,,13,3,41,15,15,7,1,0,,1,1,3,5,,1,,,Championship,SF,,,CP,,1,126,44,199,31139,1677,22.11%,55.70,,,1,615,721,139,459,2.56,19.28%,63.66%
Lazer Cat,Spring 2019,A,3,,9,7,26,30,14,4,4,0,,4,2,11,9,2,1,,,Championship,F,,,CP,,5,112,37,219,35801,2022,16.89%,53.12,,,2,699,878,139,528,2.39,15.83%,60.14%
Outlander,Spring 2019,A,4,,7,9,27,29,1,4,4,0,,2,2,4,7,1,1,,,Championship,SF,,,CP,,0,95,31,203,30607,2030,15.27%,45.23,,,0,524,741,92,410,2.12,12.42%,55.33%
Dilly Dilly,Spring 2019,A,5,,4,12,28,28,5,3,5,0,,,2,3,3,,1,,,Championship,QF,,,CP,,0,154,31,186,29087,1843,16.67%,47.35,,,0,499,740,102,378,2.02,13.78%,51.08%
Red Rascal,Spring 2019,A,6,,6,10,25,31,5,3,5,0,,,2,,3,,1,,,Championship,QF,,,CP,,1,74,25,163,26712,1722,15.34%,46.54,,,0,478,670,90,371,2.14,13.43%,55.37%
The Accountant,Spring 2019,A,7,,7,9,22,34,6,2,6,0,,,,,,,,,,,,,,,,0,97,22,184,26370,1681,11.96%,47.06,,,0,479,689,75,380,2.09,10.89%,55.15%
DJ My Q's,Spring 2019,A,8,,7,9,19,37,6,4,4,0,,,,,,,,,,,,,,,,0,40,19,203,25512,1692,9.36%,45.23,,,1,423,603,77,329,2.10,12.77%,54.56%
Pepe Le,Spring 2019,A,9,,6,10,21,35,3,2,6,0,,,,,,,,,,,,R,Relegated to B,R,,0,64,21,167,25449,1695,12.57%,45.04,,,0,454,617,77,358,2.21,12.48%,58.02%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lush,Spring 2019,B,1,,10,6,29,11,10,8,0,0,,,,,,,,,,,,P,Promoted to A,P,,0,111,29,163,19430,1335,17.79%,43.66,,,0,494,764,78,400,1.94,10.21%,52.36%
Radar,Spring 2019,B,2,,13,3,25,15,12,7,1,0,,2,2,9,1,2,,,,B Promotion Playoffs,W,P,Promoted to A,PP,,0,75,34,216,24174,1692,15.74%,42.86,,,0,651,990,125,490,1.97,12.63%,49.49%
Bud The Chud,Spring 2019,B,3,,12,4,18,22,4,5,3,0,,2,,2,5,,1,,,B Promotion Playoffs,SF,,,PP,,0,88,20,185,22799,1536,10.81%,44.53,,,0,545,892,84,460,1.83,9.42%,51.57%
Blademau5,Spring 2019,B,4,,8,8,20,20,7,4,4,0,,1,3,6,7,1,1,,,B Promotion Playoffs,F,,,PP,,0,50,26,204,24795,1749,12.75%,42.53,,,0,559,966,81,484,1.74,8.39%,50.10%
Scooter McGooch,Spring 2019,B,5,,7,9,20,20,8,4,4,0,,1,1,,4,,1,,,B Promotion Playoffs,SF,,,PP,,0,100,20,216,21250,1592,9.26%,40.04,,,0,473,891,65,403,1.59,7.30%,45.23%
Slappy Pappy,Spring 2019,B,6,,9,7,19,21,1,3,5,0,,,,,,,,,,,,,,,,0,82,18,152,18406,1339,11.84%,41.24,,,0,403,739,74,327,1.64,10.01%,44.25%
The Jig,Spring 2019,B,7,,5,11,16,24,7,1,7,0,,,,,,,,,,,,,,,,0,106,16,158,18597,1418,10.13%,39.34,,,0,438,783,84,351,1.68,10.73%,44.83%
Beef Easy,Spring 2019,B,8,,1,15,20,20,2,2,6,0,,,,,,,,,,,,,,,,0,58,20,156,18839,1371,12.82%,41.22,,,0,342,689,58,270,1.49,8.42%,39.19%
Mac Attack,Spring 2019,B,9,,7,9,13,27,2,2,6,0,,,,,,,,,,,,R,Relegated to C,R,,0,40,13,166,18717,1394,7.83%,40.28,,,1,437,799,73,357,1.64,9.14%,44.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Author,Spring 2019,C,1,,16,2,26,1,17,9,0,0,,,,,,,,,,,,P,Promoted to B,P,,,,,,,,,,,,,,,,,,,
Cali Kid,Spring 2019,C,2,,13,5,17,10,7,6,3,0,,,,,,,,,,,,P,Promoted to B,P,,,,,,,,,,,,,,,,,,,
Triple T,Spring 2019,C,3,,11,7,17,10,7,7,2,0,,3,1,6,3,2,,,,C Promotion Playoffs,W,P,Promoted to B,PP,,,,,,,,,,,,,,,,,,,
MADhouse,Spring 2019,C,4,,12,6,14,13,10,6,3,0,,2,2,4,4,1,1,,,C Promotion Playoffs,F,,,PP,,,,,,,,,,,,,,,,,,,
Unholy Cannoli,Spring 2019,C,5,,11,7,17,10,4,6,3,0,,1,1,,3,,1,,,C Promotion Playoffs,SF,,,PP,,,,,,,,,,,,,,,,,,,
Mr. Packman,Spring 2019,C,6,,9,9,13,14,5,5,4,0,,,2,2,2,,1,,,C Promotion Playoffs,SF,,,PP,,,,,,,,,,,,,,,,,,,
The Law,Spring 2019,C,7,,4,14,11,16,3,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Fires,Spring 2019,C,8,,4,14,8,19,1,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Feelgood,Spring 2019,C,9,,4,14,7,20,2,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K Mac,Spring 2019,C,10,,6,12,5,22,0,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Surgeon,Summer 2019,A,1,,16,2,51,12,18,9,0,0,,3,1,10,7,2,,,,Championship,W,,,CP,,2,126,61,225,38964,2065,27.11%,56.61,,,1,678,802,144,495,2.54,17.96%,61.72%
The Criminal,Summer 2019,A,2,,11,7,34,29,13,5,4,0,,1,1,1,5,,1,,,Championship,SF,,,CP,,0,92,35,224,33116,1959,15.63%,50.71,,,0,689,867,126,509,2.38,14.53%,58.71%
Dilly Dilly,Summer 2019,A,3,,13,5,33,30,9,5,4,0,,2,,,5,,1,,,Championship,QF,,,CP,,1,80,33,220,32336,1962,15.00%,49.44,,,0,692,914,135,523,2.27,14.77%,57.22%
The Accountant,Summer 2019,A,4,,11,7,29,34,5,6,3,0,,2,2,7,8,1,1,,,Championship,SF,,,CP,,0,144,36,260,36484,2301,13.85%,47.57,,,0,779,1054,132,617,2.22,12.52%,58.54%
Radar,Summer 2019,A,5,,7,11,32,31,7,2,7,0,,1,1,3,4,,1,,,Championship,QF,,,CP,,0,83,35,212,32961,2023,16.51%,48.88,,,0,582,914,104,471,1.91,11.38%,51.53%
Lazer Cat,Summer 2019,A,6,,8,10,31,32,5,4,5,0,,1,5,14,6,2,1,,,Championship,F,,,CP,,0,116,45,285,39907,2418,15.79%,49.51,,,0,783,1016,154,588,2.31,15.16%,57.87%
Red Rascal,Summer 2019,A,7,,6,12,31,32,8,6,3,0,,,,,,,,,,,,,,,,0,110,31,232,30299,2028,13.36%,44.82,,,0,577,871,86,452,1.99,9.87%,51.89%
DJ My Q's,Summer 2019,A,8,,8,10,29,34,8,4,5,0,,,,,,,,,,,,,,,,0,141,29,207,29776,1844,14.01%,48.44,,,0,555,787,93,456,2.12,11.82%,57.94%
Outlander,Summer 2019,A,9,,4,14,30,33,2,4,5,0,,,,,,,,,,,,R,Relegated to B,R,,0,80,30,204,29608,1926,14.71%,46.12,,,0,461,757,81,374,1.83,10.70%,49.41%
The Lush,Summer 2019,A,10,,6,12,15,48,5,0,9,0,,,,,,,,,,,,R,Relegated to B,R,,1,45,15,163,28222,1803,9.20%,46.96,,,0,474,710,86,373,2.00,12.11%,52.54%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepe Le,Summer 2019,B,1,,15,3,38,7,15,8,1,0,,,,,,,,,,,,P,Promoted to A,P,,1,137,38,156,21943,1290,24.36%,51.03,,,0,530,768,102,410,2.07,13.28%,53.39%
The Author,Summer 2019,B,2,,17,1,35,10,13,9,0,0,,2,2,9,4,2,,,,B Promotion Playoffs,W,P,Promoted to A,PP,,1,112,44,222,28579,1694,19.82%,50.61,,,0,682,959,149,528,2.13,15.54%,55.06%
