,,,,,Regular Season,,,,,,,,,Playoffs,,,,,,,,Postseason Result,,,,,,501 Stats - as recorded by DartConnect,,,,,,,,,,Cricket Stats,,,,,,,
Player,Season,Division,Place,,C-W,C-L,5-W,5-L,BP,MW,ML,MD,,C-W,C-L,5-W,5-L,MW,ML,MD,,Playoff Bracket,Playoff Finish,P/R,Result,Color,,180s,High Out,Doubles,Chances,Points,Darts,CO%,3DA,,,9M,Marks,Darts,T/B,Hits,MPR,T/B%,Hit%
The Surgeon,Spring 2018,A,1,,19,3,49,6,25,10,1,0,,4,2,11,1,3,,,,Championship,W,,,CP,,0,115,49,201,27261,1496,24.38%,54.67,,,0,704,832,153,538,2.54,18.39%,64.66%
The Criminal,Spring 2018,A,2,,18,4,40,15,17,10,1,0,,5,1,6,5,2,1,,,Championship,F,,,CP,,1,102,39,209,26257,1598,18.66%,49.29,,,1,804,1035,149,628,2.33,14.40%,60.68%
Radar,Spring 2018,A,3,,15,7,36,19,8,8,3,0,,2,2,2,3,1,1,,,Championship,SF,,,CP,,0,76,36,228,26485,1790,15.79%,44.39,,,0,679,958,133,521,2.13,13.88%,54.38%
Slappy Pappy,Spring 2018,A,4,,14,8,27,28,3,7,4,0,,,2,1,2,,1,,,Championship,QF,,,CP,,0,56,27,224,25621,1888,12.05%,40.71,,,0,615,1019,126,447,1.81,12.37%,43.87%
Dilly Dilly,Spring 2018,A,5,,11,11,26,29,7,6,5,0,,3,1,2,5,1,1,,,Championship,SF,,,CP,,0,103,26,232,26087,1884,11.21%,41.54,,,0,640,1041,109,518,1.84,10.47%,49.76%
Pepe Le,Spring 2018,A,6,,8,14,31,24,1,5,6,0,,,2,,2,,1,,,Championship,QF,,,CP,,0,58,30,228,24705,1805,13.16%,41.06,,,0,488,874,80,422,1.68,9.15%,48.28%
Outlander,Spring 2018,A,7,,14,8,21,34,4,5,6,0,,2,2,2,2,1,1,,,Championship Qualifying,QF,,,RP,,0,94,21,242,26071,2026,8.68%,38.60,,,0,640,1180,110,543,1.63,9.32%,46.02%
Red Rascal,Spring 2018,A,8,,9,13,24,31,7,5,6,0,,,2,2,2,,1,,,Championship Qualifying,1R,R,Relegated to B,RP,,1,47,24,250,25724,2002,9.60%,38.55,,,0,541,986,100,434,1.65,10.14%,44.02%
The Author,Spring 2018,A,9,,6,16,27,28,2,5,6,0,,2,2,2,4,1,1,,,Championship Qualifying,QF,,,RP,,0,130,27,247,25251,2037,10.93%,37.19,,,0,550,1119,88,451,1.47,7.86%,40.30%
Bud The Chud,Spring 2018,A,10,,10,12,19,36,3,4,7,0,,,2,,2,,1,,,Championship Qualifying,1R,R,Relegated to B,RP,,0,40,20,229,27261,1991,8.73%,41.08,,,0,588,1075,98,476,1.64,9.12%,44.28%
Beef Easy,Spring 2018,A,11,,1,21,19,36,1,1,10,0,,,,,,,,,,,,R,Relegated to B,R,,0,78,19,235,26198,1988,8.09%,39.53,,,0,430,1021,53,372,1.26,5.19%,36.43%
The Lush,Spring 2018,A,12,,7,15,11,44,3,0,11,0,,,,,,,,,,,,R,Relegated to B,R,,0,75,12,211,25659,2014,5.69%,38.22,,,0,464,980,80,385,1.42,8.16%,39.29%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Surgeon,Summer 2018,A,1,,13,1,39,3,18,7,0,,,3,1,6,6,1,1,,,Championship,F,,,CP,,3,82,45,159,26425,1352,28.30%,58.64,,,0,518,559,107,383,2.78,19.14%,68.52%
The Criminal,Summer 2018,A,2,,12,2,33,9,12,6,1,,,3,1,8,4,2,,,,Championship,W,,,CP,,2,100,41,203,26483,1524,20.20%,52.13,,,1,596,694,121,437,2.58,17.44%,62.97%
Radar,Summer 2018,A,3,,7,7,19,23,6,3,3,1,,,2,,2,,1,,,Championship,QF,,,CP,,0,72,19,140,19885,1380,13.57%,43.23,,,0,446,694,85,339,1.93,12.25%,48.85%
Dilly Dilly,Summer 2018,A,4,,8,6,17,25,4,2,3,2,,1,3,4,4,1,1,,,Championship,SF,,,CP,,0,155,19,148,21654,1438,12.84%,45.18,,,0,427,658,88,337,1.95,13.37%,51.22%
Pepe Le,Summer 2018,A,5,,6,8,18,22,2,3,3,1,,1,1,1,3,,1,,,Championship,QF,,,CP,,0,89,19,162,20923,1401,11.73%,44.80,,,0,388,610,65,308,1.91,10.66%,50.49%
The Author,Summer 2018,A,6,,5,9,16,26,5,2,4,1,,2,2,3,3,1,1,,,Championship,SF,,,CP,,0,116,18,147,21305,1449,12.24%,44.11,,,0,436,685,78,359,1.91,11.39%,52.41%
Slappy Pappy,Summer 2018,A,7,,3,11,15,27,2,1,5,1,,,,,,,,,,,,,,,,0,77,15,142,18499,1316,10.56%,42.17,,,0,305,567,54,234,1.61,9.52%,41.27%
Outlander,Summer 2018,A,8,,2,12,11,31,1,1,6,,,,,,,,,,,,,R,Relegated to B,R,,0,46,11,131,19015,1371,8.40%,41.61,,,0,266,488,40,222,1.64,8.20%,45.49%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Rascal,Summer 2018,B,1,,10,4,24,11,9,6,1,,,,,,,,,,,,,P,Promoted to A,P,,0,70,24,179,18523,1378,13.41%,40.33,,,0,426,711,78,326,1.80,10.97%,45.85%
The Accountant,Summer 2018,B,2,,10,4,24,11,6,6,1,,,,,,,,,,,,,P,Promoted to A,P,,0,105,27,157,18505,1287,17.20%,43.14,,,0,466,759,81,368,1.84,10.67%,48.48%
Bud The Chud,Summer 2018,B,3,,11,3,22,13,8,5,2,,,2,,3,5,1,1,,,B Promotion Playoffs,F,,,PP,,0,55,23,167,16883,1265,13.77%,40.04,,,0,434,779,67,363,1.67,8.60%,46.60%
DJ My Q's,Summer 2018,B,4,,9,5,20,15,9,5,2,,,2,2,8,1,2,,,,B Promotion Playoffs,W,P,Promoted to A,PP,,0,72,25,236,20409,1663,10.59%,36.82,,,0,506,926,99,395,1.64,10.69%,42.66%
The Lush,Summer 2018,B,5,,6,8,17,18,5,3,4,,,2,2,,3,,1,,,B Promotion Playoffs,SF,,,PP,,0,54,14,168,15869,1265,8.33%,37.63,,,0,348,668,48,298,1.56,7.19%,44.61%
The Jig,Summer 2018,B,6,,5,9,12,23,4,1,5,1,,,2,,2,,1,,,B Promotion Playoffs,SF,,,PP,,0,84,12,149,16518,1406,8.05%,35.24,,,0,362,742,62,291,1.46,8.36%,39.22%
Beef Easy,Summer 2018,B,7,,4,10,10,25,2,2,4,1,,,,,,,,,,,,,,,,0,53,9,143,14101,1153,6.29%,36.69,,,0,266,593,51,208,1.35,8.60%,35.08%
Triple T,Summer 2018,B,8,,1,13,11,24,1,,7,,,,,,,,,,,,,,,,,0,61,11,167,15744,1398,6.59%,33.79,,,0,274,786,42,236,1.05,5.34%,30.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kylf,Summer 2018,Rookie,,,,,,,,,,,,3,3,10,2,3,,,,C/D Playoffs,W,,Placed in C,,,,,,,,,,,,,,,,,,,,